"","id","co_entidade","no_entidade","co_orgao_regional","co_regiao","co_mesorregiao","co_microrregiao","co_uf","co_municipio","co_distrito","tp_localizacao","tp_localizacao_diferenciada","geo_ref_latitude","geo_ref_longitude"
"1",1,29180783,"CENTRO EDUCACIONAL OLIVEIRA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"2",2,29195837,"ESCOLA SAINTE ODILE","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"3",3,29195870,"ESCOLA MUNICIPAL SANTA LUZIA DO LOBATO","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"4",4,29196035,"ESCOLA SANTO INACIO","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"5",5,29196221,"ESCOLA SILVA E BRITO","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"6",6,29196299,"ESCOLA MUNICIPAL SOCIEDADE FRATERNAL","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"7",7,29196302,"ESCOLA SOL MAGISTER","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"8",8,29196345,"ESCOLA SONHO MEU LTDA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"9",9,29196361,"ESCOLA SOUZA GARCEZ","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"10",10,29196434,"EE - CENTRO ESTADUAL DE EDUCACAO PROFISSIONAL EM CONTROLE E PROCESSOS INDUSTRIAIS NEWTON SUCUPIRA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"11",11,29196442,"IFBA - CAMPUS SALVADOR","0",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"12",12,29196450,"ESCOLA TEMPO DE CRIANCA LTDA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"13",13,29196477,"ESCOLA MUNICIPAL TENENTE ALMIR","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"14",14,29196515,"ESCOLA TIA ROSA LTDA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"15",15,29196647,"ESCOLA TIO PATINHAS","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"16",16,29199956,"ESCOLA MUNICIPAL DE BANANEIRA","26",2,2905,29021,29,2927408,292740805,2,6,NA,NA
"17",17,29200016,"ESCOLA MUNICIPAL PROFESSOR ANTONIO CARLOS ONOFRE","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"18",18,29200024,"EE - COLEGIO ESTADUAL RAYMUNDO DE ALMEIDA GOUVEIA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"19",19,29200032,"EE - COLEGIO ESTADUAL PROFESSORA ANGELITA MORENO","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"20",20,29200075,"EE - COLEGIO ESTADUAL SARA VIOLETA DE MELLO KERTESZ","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"21",21,29200091,"SARTRE ESCOLA SEB","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
"22",22,29200245,"INSTITUTO GUANABARA","26",2,2905,29021,29,2927408,292740805,1,0,NA,NA
